b61f24c58ac19587f9de6a9da502a195c0a70078	do you like your food	Yes, I love it	No, I hate this food. It's always the same thing, blaw!!	Its ok. I'm not a complainer	It depends, some days are good and other are blaw!!
0d883f2304f016a70f472416963ab3d25d108486	can you smile	Yes I can smile. I'm smiling right now, can't you see it?	Sometimes I do. But not all the time	not. I'm not your clown	I'm not on the mood today.
4f5f0050351bc952ab696130eb076ce5b396027a	why do you breathe heavily	Because that the way a breath, helloo!!	Because a like to piss you off	I'm not sure why. It bothers me too sometimes	I don't know. How could I know that, I'm a dog.
4a3d1e53a67d4847ac5b1d958a2d090ff6d8c914	do you like to sleep in my bed	YESSSS. I love it. Much better than mine.	Not really. I got scare when you snore.	it's ok. I would rather sleep on a tempurpedic mattress.	Yess. It's so much fun. Sometimes I fart under the blankets. Hahaha!!
511c65a977dc3a870406fcf44defe7e3c5801cde	do you like your bed	YESSS. I really like my bed	Not. It's terrible. Stop being so cheap and buy me a good one.	Its good! I can I say!	I would prefer a bigger one. But this one is ok too.
4e81a6900e937135d2faaa252679e602ec4e7dd2	do you love me	Yes, I love you! I love you very much!	Sometimes I do, sometimes I don't. It all depends how I feel at the moment.	Yes, I love you! You are the one that feeds me!!	Yes, Yes, Yes. But I'm tire to answer that over and over again!!!
6550cdc638181f0de58a4da341e6d4fa83312495	are you hungry	Yes. I'm always hungry.	I'm starving. Make me some chicken Alfredo, please!!!	No, I just ate my food five minutes ago. I'm cool, Thanks!!	It depends, if you going to give me the same crap from yesterday, I will refuse to eat!
291944236b93e5c29724e8e850ad8b29fc5f08bd	are you thirsty	Yes, I'm thirsty, But I would like cold water, please!	Yes, because you forgot to fill my water bucket!!	Not really. I'm cool, thanks!	Yes, but I would rather have a beer than plain boring water.
0c01b69a1de42120a509d10c506138cae9686024	do you want to go out	YESSSSS, YESSSSS, YESSSSSS, let's go! Let's go!
3a0b5f537fe39b49954f5382c9f2588d82476de5	are you spoiled	I don't know what that means. Remember, I'm a dog!	Yes' I am, as I should be!	Yes I am, and that's your fault.	No, I'm not. You don’t even let me pee around the house.
29f2d2ddc307c4a44685379c2e5a628cc3aac9a4	do you have a secret	Yes, I do have one. But I can't tell you because it’s a secret, Hello!!	No, I don't. My life is an open book.	Yes, I do have a secret. Sometimes I think I'm a cat.	Yes, I do. I'm gay.
aefca8ef819e9694cbe812243cd881fa021ac374	do you want a treat	Yes, Yes, Yes,	Yes, yes, yes. I want the chicken one.	Yes, Yes, Yes. I want the beef one.	Yes, off course I want a treat. Anytime!
2bb7bc2620ff4553e93a8c9a74d763727bdbab49	is it good	Its delicious!!	it's ok. I've had better than this one.	Yes, I am loving it. Can't you tell?	Aul! That is not what I expected for a treat. You can do better!!
c81f93215f7834a4b2094b795c8f55c29426ebc0	do you like your clothes	Yes, it's very fashionable	No. I hate it. I'm a dog, not a human!	No at all. I like to be naked	Yes, it makes me feel cool
8cd0399416bebcca578c3df1b00292bbabd942e3	do you love mom	Yess, I love you Mom	Yes, but sometimes you are a pain in the ass	Yes I do. Very much	Yes I love you. You are the one the feeds me!
7c7fb7ad68f8c223f10752123ae6272bc71e6c39	do you love daddy	Yess, I love you Daddy	Yes, but sometimes you are a pain in the ass	Yes I do. Very much	Yes I love you. You are the one the feeds me!
de2e40759990d51b189d2c9e4b3fc03ad87784ff	why do you sniff the grass	Because I'm a dog and that's what dogs do.	I told you already why.	I have no idea. I would like to know that as well	I don't know. Maybe is because I'm crazy.
91a9f35033220f6712b7f188a3baaa80f5808cba	can you clean my room	Hell no. are you crazy? I'm a dog	Not really. Why don't you hire a maid?	Nope. That's your job	Yeah Right. You think you're funny!!
